truncate,Year,Price_Level,Like,textsm__divcontains_class_truncate,Price,Mileage,Discount,Certification,Color,Circumstance
Ford Fusion,2018,Fair Price,SE FWD,At or near avg. list price,"$17,899 ","63,055 miles",,,"Silver exterior, Gray interior","No accidents, 2 Owners, Personal use"
Hyundai Santa Fe,2020,Excellent Price,SEL 2.4L FWD (SULEV),"$1,334 off avg. list price","$22,995 ","20,761 miles",Dealer Discount Available,Certified Pre-Owned,"Red exterior, Black interior","No accidents, 1 Owner, Personal use"
Lexus RX,2019,Excellent Price,RX 350 FWD,"$1,332 off avg. list price","$30,974 ","64,665 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Hyundai Elantra,2020,Great Price,SE IVT (SULEV),$478 off avg. list price,"$17,495 ","43,038 miles",Dealer Discount Available,Certified Pre-Owned,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Honda Accord,2021,Excellent Price,Sport 2.0T Automatic,"$1,049 off avg. list price","$29,962 ","17,259 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Chevrolet Silverado 1500,2019,Excellent Price,RST Double Cab Standard Box 2WD,"$1,419 off avg. list price","$31,964 ","56,847 miles",,,"Black exterior, Black interior","No accidents, 3 Owners, Personal use"
Mercedes-Benz C-Class,2019,Great Price,C 300 Sedan RWD,$498 off avg. list price,"$28,963 ","30,199 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Hyundai Santa Fe,2020,Excellent Price,Limited 2.0T FWD,"$1,162 off avg. list price","$28,495 ","37,570 miles",Dealer Discount Available,Certified Pre-Owned,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLC,2022,Great Price,GLC 300 SUV RWD,$425 off avg. list price,"$42,539 ","9,042 miles",Dealer Discount Available,Certified Pre-Owned,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Honda Accord,2019,Great Price,Sport 1.5T CVT,$252 off avg. list price,"$25,896 ","33,092 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
BMW i3,2017,Excellent Price,94 Ah with Range Extender,"$1,260 off avg. list price","$21,963 ","30,626 miles",,,"Gray exterior, Black interior","No accidents, 2 Owners, Personal use"
Mercedes-Benz GLC,2022,Great Price,GLC 300 SUV RWD,$384 off avg. list price,"$42,680 ","8,292 miles",Dealer Discount Available,Certified Pre-Owned,"Gray exterior, Gray interior","No accidents, 1 Owner, Personal use"
Hyundai Santa Fe Sport,2015,Excellent Price,Base 2.4L FWD,$728 off avg. list price,"$13,995 ","74,491 miles",Dealer Discount Available,,"White exterior, Gray interior","No accidents, 2 Owners, Personal use"
Chrysler 200,2015,Excellent Price,Limited FWD,$895 off avg. list price,"$8,769 ","110,258 miles",,,"White exterior, Black interior","1 accident, 2 Owners, Personal use"
Toyota Mirai,2019,Excellent Price,Sedan,"$2,270 off avg. list price","$16,099 ","25,401 miles",,,"Blue exterior, Blue interior","1 accident, 1 Owner, Personal use"
Hyundai Sonata,2020,Great Price,SEL,$521 off avg. list price,"$23,495 ","28,425 miles",Dealer Discount Available,Certified Pre-Owned,"White exterior, Gray interior","No accidents, 1 Owner, Personal use"
Hyundai Elantra,2020,Great Price,SEL IVT (SULEV),$193 off avg. list price,"$18,495 ","34,870 miles",Dealer Discount Available,Certified Pre-Owned,"Silver exterior, Black interior","No accidents, 1 Owner, Personal use"
Chevrolet Equinox,2020,Excellent Price,LS with 1LS FWD,"$1,472 off avg. list price","$18,170 ","35,770 miles",Dealer Discount Available,,"Blue exterior, Gray interior","No accidents, 1 Owner, Personal use"
Toyota Prius,2013,Excellent Price,Two,"$1,400 off avg. list price","$13,575 ","93,392 miles",,,"White exterior, Unknown interior","No accidents, 2 Owners, Fleet use"
Toyota Camry,2012,Excellent Price,SE I4 Automatic,"$1,436 off avg. list price","$13,549 ","76,462 miles",,,"Black exterior, Unknown interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLC,2022,Great Price,GLC 300 SUV 4MATIC,$801 off avg. list price,"$43,288 ","8,315 miles",Dealer Discount Available,Certified Pre-Owned,"White exterior, Gray interior","No accidents, 1 Owner, Personal use"
Honda CR-V,2016,Excellent Price,EX FWD,$559 off avg. list price,"$18,495 ","75,625 miles",Dealer Discount Available,,"Silver exterior, Black interior","1 accident, 1 Owner, Personal use"
BMW 3 Series,2011,Excellent Price,328i Sedan SULEV,$890 off avg. list price,"$6,798 ","145,265 miles",,,"Black exterior, Black interior","No accidents, 4 Owners, Personal use"
Mercedes-Benz GLC,2022,Great Price,GLC 300 SUV RWD,$86 off avg. list price,"$42,847 ","8,091 miles",Dealer Discount Available,Certified Pre-Owned,"Gray exterior, Gray interior","No accidents, 1 Owner, Personal use"
BMW 3 Series,2019,Excellent Price,330i Sedan RWD,"$1,098 off avg. list price","$28,500 ","43,523 miles",,,"Black exterior, Black interior","No accidents, 2 Owners, Personal use"
Mazda Mazda6,2017,Excellent Price,Touring Automatic,$625 off avg. list price,"$15,987 ","78,894 miles",,,"White exterior, Black interior","1 accident, 1 Owner, Personal use"
Lexus ES,2012,Great Price,ES 350,$505 off avg. list price,"$18,998 ","35,701 miles",,,"Gray exterior, Gray interior","No accidents, 3 Owners, Personal use"
Tesla Model 3,2020,Great Price,Standard Range Plus RWD,$630 off avg. list price,"$41,974 ","5,805 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Mercedes-Benz E-Class,2019,Great Price,E 300 Sedan RWD,$638 off avg. list price,"$34,986 ","32,833 miles",Dealer Discount Available,Certified Pre-Owned,"Gray exterior, Black interior","No accidents, 2 Owners, Personal use"
Hyundai Elantra,2018,Great Price,SEL 2.0L Sedan Automatic,$336 off avg. list price,"$15,987 ","47,389 miles",,,"Red exterior, Beige interior","No accidents, 2 Owners, Personal use"
Mercedes-Benz GLC,2022,Excellent Price,GLC 300 SUV RWD,"$1,630 off avg. list price","$42,893 ","7,581 miles",,Certified Pre-Owned,"White exterior, Beige interior","No accidents, 1 Owner, Personal use"
Toyota Camry,2012,Excellent Price,Hybrid LE,"$1,786 off avg. list price","$10,998 ","117,840 miles",,,"Black exterior, Gray interior","No accidents, 2 Owners, Personal use"
Honda Civic,2015,Great Price,LX Sedan CVT,$119 off avg. list price,"$17,985 ","24,156 miles",,,"White exterior, Beige interior","No accidents, 2 Owners, Personal use"
Honda Accord,2020,Great Price,Sport 1.5T CVT,$647 off avg. list price,"$25,865 ","34,864 miles",Dealer Discount Available,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Tesla Model 3,2018,Excellent Price,Mid Range RWD,"$2,855 off avg. list price","$34,999 ","67,220 miles",,,"Black exterior, Unknown interior","No accidents, 2 Owners, Personal use"
Nissan Rogue,2019,Great Price,SL FWD,$299 off avg. list price,"$21,896 ","65,306 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Nissan Versa,2016,Excellent Price,1.6 SV CVT,$949 off avg. list price,"$7,999 ","104,422 miles",Dealer Discount Available,,"Silver exterior, Black interior","1 accident, 3 Owners, Personal use"
Ford Explorer,2018,Excellent Price,XLT FWD,"$1,151 off avg. list price","$20,209 ","83,200 miles",,,"Black exterior, Unknown interior","No accidents, 2 Owners, Fleet use"
Toyota Camry,2014,Excellent Price,2014 SE I4 Automatic,"$1,466 off avg. list price","$12,998 ","98,044 miles",,,"Black exterior, Black interior","1 accident, 2 Owners, Fleet use"
Mazda CX-5,2018,Great Price,Touring FWD,$390 off avg. list price,"$22,964 ","33,143 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Hyundai Tucson,2020,Excellent Price,Sport FWD,$775 off avg. list price,"$23,495 ","16,132 miles",Dealer Discount Available,Certified Pre-Owned,"Blue exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLE,2020,Great Price,GLE 350 4MATIC,"$1,056 off avg. list price","$47,980 ","43,204 miles",Dealer Discount Available,Certified Pre-Owned,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
